node_id,lat,lon,alt
41MP,42.623325,2.080556,1529.7852
X3,41.744656,0.53686094,370.1172
UU,40.70961,0.6331539,2.9296875
DN,41.96279,2.6322,149.90234
WU,41.453995,2.248678,41.992188
DJ,42.11837,2.790815,175.29297
X4,41.38574,2.168852,33.203125
D5,41.420273,2.124985,410.64453
X8,41.38104,2.1064959,79.10156
UP,41.51957,2.378123,81.05469
X9,41.614494,2.1694615,176.26953
XC,41.480766,1.9765589,146.97266
DO,41.810413,3.0335398,14.160156
C6,41.658443,0.95278895,264.16016
MR,41.25079,0.9105999,499.51172
C8,41.677395,1.2971668,554.1992
VQ,41.173145,1.1688179,111.328125
WZ,41.20372,1.634544,17.089844
DP,42.3879,1.8674959,1097.168
DB,40.87472,0.71687186,179.19922
CT,42.399956,0.744685,823.2422
R1,41.70822,1.8738569,210.44922
D9,41.21738,1.5222929,59.08203
UW,40.629105,0.660273,0.0
CE,41.532944,1.8092229,315.91797
X1,41.155594,0.82058895,358.39844
DI,41.43477,1.624949,415.03906
XJ,41.98407,2.8079867,72.265625
WV,42.23599,1.8759489,788.08594
DL,40.709038,0.835553,0.0
CW,41.394253,1.100007,445.80078
DF,41.979343,3.0365617,27.34375
XA,41.604424,1.4017849,785.15625
CV,42.24124,0.96541494,512.6953
CD,42.372677,1.433858,849.1211
WT,41.64891,2.7576947,1.953125
D1,41.287067,0.75488794,403.8086
C9,40.7201,0.40093195,240.23438
CG,42.379013,2.4156778,1404.2969
H1,41.58826,1.654149,332.51953
D6,42.436985,3.1673577,195.80078
U2,42.179,3.0979347,3.90625
CP,42.14109,1.0400078,689.9414
C7,41.668797,1.163413,426.7578
DK,41.148613,1.4195437,1.953125
D3,41.38382,1.9367359,251.46484
WS,41.84192,2.419879,953.6133
J5,42.34215,2.8342295,158.6914
aranes,42.780216,0.690056,923.33984
trastitu,42.25058,3.1318917,4.8828125
pverhoeven,41.973434,3.2146578,20.019531
antonibn,41.536842,2.4408638,4.8828125
escolamestral,41.39351,2.0498002,79.58984
isantandreu,41.44086,2.180385,69.82422
ajesplugues,41.37929,2.0860589,119.62891
puigdevidre,41.350704,1.8434407,330.07812
portdesitges,41.234543,1.8259789,1.953125
jllovera,41.669636,0.817639,207.03125
ESPVA4600000046960A,39.475273,-0.45944402,53.710938
ESPVA4600000046380A,39.49194,-0.6836109,217.77344
hilarioxert,40.521587,0.15957999,530.27344
fontestad,39.601013,-0.36775395,39.55078
jumillahuerta,38.470016,-1.337872,560.0586
benidorm,38.30079,-0.5997049,89.84375
ocsi,39.57969,3.3384159,50.29297
ESCAT0800000008696A,42.245,1.9749999,873.0469
ESCAT0800000008571A,42.06139,2.2708328,561.03516
ESCAT0800000008233A,41.602497,1.9211107,424.8047
ESCAT1700000017538B,42.39833,1.9213889,1100.0977
salarducynp,42.706932,0.90203893,1270.0195
marco,42.68405,0.611736,1750.0
laluenga,42.00663,-0.047636993,479.4922
xaletrafart,42.176666,1.565279,1644.5312
instituteuropa,41.355843,2.1133168,55.664062
lloma,39.621593,-0.36826593,109.86328
vlp,38.689087,0.134661,9.765625
juande,39.43287,2.7557802,149.90234
ESCAT0800000008915A,41.451107,2.2436109,69.82422
XI,41.620014,0.87289196,247.07031
VK,41.685123,0.44975993,286.1328
Espunyola,42.052338,1.773028,804.1992
jjordana,41.539997,2.068228,205.07812
viaro,41.48446,2.0781639,124.02344
maspastoret,41.159058,1.4357579,4.8828125
calongeplatjatv,41.83878,3.094023,1.953125
ESPVA4600000046840B,38.908886,-0.41722196,243.65234
ESPVA4600000046900A,39.43361,-0.47694397,74.70703
interfibra01,38.63938,-0.8677979,504.8828
ESCAT0800000008784A,41.522217,1.749444,326.17188
ESCAT1700000017403B,41.879448,2.5127778,815.91797
amartin1111,42.30194,2.0982373,1338.8672
alexkst,42.234432,3.0761087,9.765625
torredenroca,41.833736,1.8763448,279.78516
cemontseny,41.41055,2.2110128,24.902344
meteositges,41.23632,1.8208287,9.765625
aridpides,38.04309,-1.092567,129.88281
ESCAT0800000008259A,41.743057,1.7127779,399.90234
ESCAT0800000008232B,41.549995,1.9522216,309.5703
ESCAT1700000017800B,42.187775,2.488333,467.77344
xserrato,42.54477,1.0452749,2350.0977
lles,42.401436,1.6982249,1279.2969
